Title,Video url,Thumbnail url,Channel name,Duration
ASMR Talking You to Sleep 🌖💤,https://www.youtube.com/watch?v=hmvoWuq0ob0,https://i.ytimg.com/vi/hmvoWuq0ob0/maxresdefault.jpg,Luna Bloom ASMR,"31 Minutes, 11 Seconds"
Chansons d’Amour en Français  💕  Romantic French Love Songs,https://www.youtube.com/watch?v=sHE6aKis69U,https://i.ytimg.com/vi/sHE6aKis69U/maxresdefault.jpg,AI MUSIC PRO,"1 Hours, 52 Minutes, 4 Seconds"
"40 Minutes Of Fast ASMR (Mouth Sounds, Rambles, Gripping, More!)",https://www.youtube.com/watch?v=05ZiirjJGxU,https://i.ytimg.com/vi/05ZiirjJGxU/maxresdefault.jpg,Jules ASMR,"40 Minutes, 37 Seconds"
ASMR Gentle Negative Energy Removal 🩷,https://www.youtube.com/watch?v=Cy1MHTv8G2I,https://i.ytimg.com/vi/Cy1MHTv8G2I/maxresdefault.jpg,Luna Bloom ASMR,"18 Minutes, 49 Seconds"
Om Shanti ॐ 1 hour Healing Angelic Music - Mantra for Peace,https://www.youtube.com/watch?v=uQLx-Hi6Ga0,https://i.ytimg.com/vi/uQLx-Hi6Ga0/maxresdefault.jpg,Clara Sophia,"1 Hours, 11 Minutes, 5 Seconds"
kaizen: becoming one percent better everyday | a soothing playlist for focus time,https://www.youtube.com/watch?v=OoSzt2Ga8Oc,https://i.ytimg.com/vi/OoSzt2Ga8Oc/maxresdefault.jpg,time of youth,"1 Hours, 47 Minutes, 0 Seconds"
Surrendering to the Flow | 1 hour handpan music | Malte Marten & Changeofcolours,https://www.youtube.com/watch?v=RrzwxmxOyEA,https://i.ytimg.com/vi/RrzwxmxOyEA/maxresdefault.jpg,Malte Marten Music,"1 Hours, 10 Minutes, 23 Seconds"
"2 Hours of Hypnotic Hang Drum Bliss | Relax, Meditate, and Unwind",https://www.youtube.com/watch?v=RrsdfB4WWnc,https://i.ytimg.com/vi/RrsdfB4WWnc/maxresdefault.jpg,Animara,"2 Hours, 17 Minutes, 8 Seconds"
Calming Meditation | 1 hour handpan music | Malte Marten,https://www.youtube.com/watch?v=uwEaQk5VeS4,https://i.ytimg.com/vi/uwEaQk5VeS4/maxresdefault.jpg,Malte Marten,"1 Hours, 4 Minutes, 21 Seconds"
Sun and Moon Meditation | 1 hour handpan & guitar music | Malte Marten & Luna Mando,https://www.youtube.com/watch?v=jXIe5R6lv4c,https://i.ytimg.com/vi/jXIe5R6lv4c/maxresdefault.jpg,Malte Marten,"1 Hours, 6 Minutes, 34 Seconds"
"ASMR | Sleep Inducing Fast & Aggressive Unpredictable Triggers (Mic Triggers, Rambles, Mouth Sounds)",https://www.youtube.com/watch?v=rkbXgnpMdM0,https://i.ytimg.com/vi/rkbXgnpMdM0/maxresdefault.jpg,Jules ASMR,"26 Minutes, 56 Seconds"
ASMR - Relaxing ASMR Triggers (Whisper) *Previous Livestream*,https://www.youtube.com/watch?v=237N7KjO7qI,https://i.ytimg.com/vi/237N7KjO7qI/maxresdefault.jpg,Katrine ASMR (Twitch Vods),"1 Hours, 53 Minutes, 3 Seconds"
asmr to relax ♥︎,https://www.youtube.com/watch?v=89-bMFcG59M,https://i.ytimg.com/vi/89-bMFcG59M/maxresdefault.jpg,The MashaKata,"16 Minutes, 28 Seconds"
"3h sleep ASMR - ""shh it's okay"" & slow towel scratching - whispering, breathing",https://www.youtube.com/watch?v=2cWd4GRZZXw,https://i.ytimg.com/vi/2cWd4GRZZXw/maxresdefault.jpg,ASMR_Divinity,"3 Hours, 8 Minutes, 30 Seconds"
"ASMR Shhh, We're Okay, I’m Right Here",https://www.youtube.com/watch?v=YefUPl4-m6I,https://i.ytimg.com/vi/YefUPl4-m6I/maxresdefault.jpg,Slight Sounds ASMR,"18 Minutes, 41 Seconds"
ASMR Ear blowing & “Shhh” with Background Music,https://www.youtube.com/watch?v=iCcvLuomaTY,https://i.ytimg.com/vi/iCcvLuomaTY/maxresdefault.jpg,Slight Sounds ASMR,"27 Minutes, 26 Seconds"
"ASMR | 3 HOURS super sensitive Ear Attention, Whispering & Blowing for Deep Sleep",https://www.youtube.com/watch?v=97s1NXAT7EI,https://i.ytimg.com/vi/97s1NXAT7EI/maxresdefault.jpg,ASMR_Divinity,"3 Hours, 6 Minutes, 36 Seconds"
ASMR Worst Hair Salon (chaotic haircut roleplay) ✂️,https://www.youtube.com/watch?v=mMPeIJhbbuw,https://i.ytimg.com/vi/mMPeIJhbbuw/maxresdefault.jpg,Luna Bloom ASMR,"19 Minutes, 33 Seconds"
ASMR you don’t even need to watch 🎧 (Just listen),https://www.youtube.com/watch?v=50xr1qy2fuY,https://i.ytimg.com/vi/50xr1qy2fuY/maxresdefault.jpg,Raccoon ASMR,"25 Minutes, 57 Seconds"
"Ultimate Relaxation: MY 4 Hours ASMR Mega Compilation for Sleep, Study & Meditation",https://www.youtube.com/watch?v=8LtFHFB64Co,https://i.ytimg.com/vi/8LtFHFB64Co/maxresdefault.jpg,Qiao ASMR,"4 Hours, 0 Minutes, 42 Seconds"
HINDI ASMR | Treating Your Headache/Migraine (RP) | Personal Attention🫧,https://www.youtube.com/watch?v=JLJZf_CDRbc,https://i.ytimg.com/vi/JLJZf_CDRbc/maxresdefault.jpg,Kay Lofi ASMR,"22 Minutes, 15 Seconds"
АСМР Доктор осмотрит тебя Скорая помощь при тревожности ASMR Doctor Checkup,https://www.youtube.com/watch?v=HK6xNqeDy_0,https://i.ytimg.com/vi/HK6xNqeDy_0/maxresdefault.jpg,Alenushka ASMR,"49 Minutes, 48 Seconds"
ASMR DEEP SLEEP in 15 Minutes OR LESS 💤 Fast Paced ASMR For Sleep 💤,https://www.youtube.com/watch?v=rJqpLenVYwU,https://i.ytimg.com/vi/rJqpLenVYwU/maxresdefault.jpg,Celaine's ASMR,"15 Minutes, 12 Seconds"
สวนผักเล็ก ๆ หลังบ้าน 🌿 | เมนูทำง่ายจากมะเขือ 3 อย่าง 🍆 | แกงเผ็ดมะเขือม่วง 🥘 | ยำมะเขือเปราะ | VLOG,https://www.youtube.com/watch?v=kqHQgY8tzb0,https://i.ytimg.com/vi/kqHQgY8tzb0/maxresdefault.jpg,stay with cotton,"24 Minutes, 38 Seconds"
#84 Growing a Vegetables Garden from an Empty Backyard | No Dig - Satisfying Harvest!,https://www.youtube.com/watch?v=seLEvrZ6_6w,https://i.ytimg.com/vi/seLEvrZ6_6w/maxresdefault.jpg,Her 86m2,"23 Minutes, 26 Seconds"
Japanese Breakfast / 日本の朝御飯 - Japanese food [ASMR COOKING SOUND],https://www.youtube.com/watch?v=RjWiNbIIzb8,https://i.ytimg.com/vi/RjWiNbIIzb8/maxresdefault.jpg,Japanese Food Music,"9 Minutes, 23 Seconds"
10 Hours ASMR Cooking Thailand's Food in the Rain | Relaxing NO MUSIC NO TALKING,https://www.youtube.com/watch?v=OoH08KgfcE0,https://i.ytimg.com/vi/OoH08KgfcE0/maxresdefault.jpg,Delish Tube,"10 Hours, 31 Minutes, 13 Seconds"
Process of Making Leather Shoes from the Korea's Handmade Shoe Store since 1936.,https://www.youtube.com/watch?v=ixzwSAkxj4c,https://i.ytimg.com/vi/ixzwSAkxj4c/maxresdefault.jpg,미스터 프로세스 Mr.Process ,"28 Minutes, 3 Seconds"
Process of Making Handmade Tailored Suits by Korean Master Tailor with 30 years of experience.,https://www.youtube.com/watch?v=qXbWq1_gWNg,https://i.ytimg.com/vi/qXbWq1_gWNg/maxresdefault.jpg,미스터 프로세스 Mr.Process ,"25 Minutes, 3 Seconds"
Take a Seat and Relax | Angelo Shoe Shine ASMR,https://www.youtube.com/watch?v=I5cXJ3Yh3lw,https://i.ytimg.com/vi/I5cXJ3Yh3lw/maxresdefault.jpg,Angelo Shoe Shine,"44 Minutes, 58 Seconds"
ASMR | 100% SENSITIVITY (4+ HOUR COMPILATION)  😴💕,https://www.youtube.com/watch?v=cVgBAIaNW7E,https://i.ytimg.com/vi/cVgBAIaNW7E/maxresdefault.jpg,Also Maya ASMR,"4 Hours, 24 Minutes, 17 Seconds"
Repairing a FILTHY PS1 Console 🎮 Cleaning + Switching the Power Supply Board | Soft-spoken 🫧🪥 ASMR,https://www.youtube.com/watch?v=EQVjz7honKs,https://i.ytimg.com/vi/EQVjz7honKs/maxresdefault.jpg,Catplant ASMR,"34 Minutes, 41 Seconds"
asmr ☾ inappropriate doctor examines you 😇,https://www.youtube.com/watch?v=dXsAwmHkRKE,https://i.ytimg.com/vi/dXsAwmHkRKE/maxresdefault.jpg,nananightray,"16 Minutes, 30 Seconds"
BANGLA ASMR|  trying Bangla ASMR for the first time🥺 soft whispering & caring 🪷,https://www.youtube.com/watch?v=WwvRnlzdaWI,https://i.ytimg.com/vi/WwvRnlzdaWI/maxresdefault.jpg,Rose ASMR Hindi,"4 Minutes, 52 Seconds"
ASMR | Study with Me! 💕 FULL Pomodoro Session with Timer & Breaks,https://www.youtube.com/watch?v=qsLM0U1iOFY,https://i.ytimg.com/vi/qsLM0U1iOFY/maxresdefault.jpg,Sarah Lavender ASMR,"2 Hours, 0 Minutes, 30 Seconds"
ASMR 50K SPECIAL |  +50 FAST AND AGGRESSIVE TRIGGERS  (ALL VISUALS AND MOST POPULAR TRIGGERS),https://www.youtube.com/watch?v=ZuxWR0TFU-w,https://i.ytimg.com/vi/ZuxWR0TFU-w/maxresdefault.jpg,Dark Moonrise ASMR,"50 Minutes, 54 Seconds"
ASMR Up Close and Personal,https://www.youtube.com/watch?v=VF2pC8PVaaQ,https://i.ytimg.com/vi/VF2pC8PVaaQ/maxresdefault.jpg,ASMR Claudy,"15 Minutes, 45 Seconds"
She Knows What She’s Doing! ASMR Haircut & Grooming by Barber Maria,https://www.youtube.com/watch?v=KkS9BAMLqFQ,https://i.ytimg.com/vi/KkS9BAMLqFQ/maxresdefault.jpg,Alex Kosta,"55 Minutes, 0 Seconds"
ASMR Your Boss Wants a Word…Alone | SimoneASMR Roleplay,https://www.youtube.com/watch?v=wbXA7tB_92M,https://i.ytimg.com/vi/wbXA7tB_92M/maxresdefault.jpg,Simone ASMR,"18 Minutes, 51 Seconds"
ASMR Kisses ♡,https://www.youtube.com/watch?v=uHL1yJ0jOAY,https://i.ytimg.com/vi/uHL1yJ0jOAY/maxresdefault.jpg,Cristal,"20 Minutes, 56 Seconds"
АСМР Ролевая игра СПА💆 Чистка и массаж лица 💖 ASMR Roleplay SPA🖐💆  Face cleaning and massage ✨,https://www.youtube.com/watch?v=pBjxnHCM4nY,https://i.ytimg.com/vi/pBjxnHCM4nY/maxresdefault.jpg,ASMR KittyKlaw,"41 Minutes, 7 Seconds"
ASMR | ONE HOUR of Fast & Aggressive Hand Sounds 🙌,https://www.youtube.com/watch?v=duGgpQ049N4,https://i.ytimg.com/vi/duGgpQ049N4/maxresdefault.jpg,FruityPatchouli ASMR,"1 Hours, 2 Minutes, 11 Seconds"
"Fast & Aggressive Reiki ASMR | Scanning, Pull and Snap, Chopsticks, Aura Fluffing",https://www.youtube.com/watch?v=jMO8VdfpNB4,https://i.ytimg.com/vi/jMO8VdfpNB4/maxresdefault.jpg,FruityPatchouli ASMR,"26 Minutes, 57 Seconds"
ASMR para quando você estiver ansioso,https://www.youtube.com/watch?v=VoYJZ8yrSoA,https://i.ytimg.com/vi/VoYJZ8yrSoA/maxresdefault.jpg,Tha ASMR,"13 Minutes, 2 Seconds"
ASMR Face Exam,https://www.youtube.com/watch?v=3jSY5TA2MIo,https://i.ytimg.com/vi/3jSY5TA2MIo/maxresdefault.jpg,cait ASMR,"21 Minutes, 51 Seconds"
Hindi ASMR | Caring Wife Comforts You After a Stressful Day,https://www.youtube.com/watch?v=JAKjEdX89Xc,https://i.ytimg.com/vi/JAKjEdX89Xc/maxresdefault.jpg,Birdlit ASMR,"11 Minutes, 45 Seconds"
ASMR Eyes Closed For Sleep Luna Bloom ASMR Compilation (2+ hours),https://www.youtube.com/watch?v=Nh-hsYaRjzw,https://i.ytimg.com/vi/Nh-hsYaRjzw/maxresdefault.jpg,Luna Bloom ASMR,"2 Hours, 17 Minutes, 5 Seconds"
"(1+ hrs healing asmr) Intense Spiritual Cleansing, Karmic Cord Cutting, Remove Negative Energy",https://www.youtube.com/watch?v=pSOXKLJuVpU,https://i.ytimg.com/vi/pSOXKLJuVpU/maxresdefault.jpg,Sanne The Witch,"1 Hours, 24 Minutes, 7 Seconds"
"Fastest Medical ASMR | Neurologist, Eye Doctor, Dentist, Pediatrician, Allergist, PT, Derm, & More!",https://www.youtube.com/watch?v=R6yzzcCHUwU,https://i.ytimg.com/vi/R6yzzcCHUwU/maxresdefault.jpg,Gibi ASMR,"21 Minutes, 56 Seconds"
4 Hours of Interviewing You | ASMR Asking Questions,https://www.youtube.com/watch?v=MRZSq1PByVE,https://i.ytimg.com/vi/MRZSq1PByVE/maxresdefault.jpg,Gibi Rest Stop (ASMR),"3 Hours, 50 Minutes, 15 Seconds"
[ASMR] Away From Civilization With Your Loving and Comforting Girlfriend ❤️ (Role Play),https://www.youtube.com/watch?v=ed987ZRaA3Q,https://i.ytimg.com/vi/ed987ZRaA3Q/sddefault.jpg,Oranda ASMR,"20 Minutes, 52 Seconds"
CHAKRA ALIGNMENT | 1 hour Full Body Chakra Healing and Clearing | WITCHY ENERGY HEALING ASMR,https://www.youtube.com/watch?v=-DPAcrSMMh0,https://i.ytimg.com/vi/-DPAcrSMMh0/maxresdefault.jpg,Sanne The Witch,"1 Hours, 1 Minutes, 24 Seconds"
ASMR Follow My Instructions EYES CLOSED 😴 Intuition Tests for Sleep 💤,https://www.youtube.com/watch?v=XkFsgct7Mrk,https://i.ytimg.com/vi/XkFsgct7Mrk/maxresdefault.jpg,Celaine's ASMR,"28 Minutes, 41 Seconds"
Fast & Aggressive ASMR For Sleep 🩷,https://www.youtube.com/watch?v=C3IAO5ND9ms,https://i.ytimg.com/vi/C3IAO5ND9ms/maxresdefault.jpg,Luna Bloom ASMR,"36 Minutes, 55 Seconds"
"АСМР 💚🖤 В ЛОГОВЕ У ШИГО 💚🖤 Тесты, Опрос, Осмотр, IQ тест | ASMR Shego (SUB)",https://www.youtube.com/watch?v=0ayyEou_UCo,https://i.ytimg.com/vi/0ayyEou_UCo/maxresdefault.jpg,ASMR MOOD,"40 Minutes, 0 Seconds"
"Fast & Aggressive ASMR | Peripherals, Rollerball Massage, Rain Trigger",https://www.youtube.com/watch?v=qds73jw8rXQ,https://i.ytimg.com/vi/qds73jw8rXQ/maxresdefault.jpg,FruityPatchouli ASMR,"28 Minutes, 41 Seconds"
ASMR - 1 ORA DI HAND SOUNDS & HAND MOVEMENTS,https://www.youtube.com/watch?v=N53iVBgGu4I,https://i.ytimg.com/vi/N53iVBgGu4I/maxresdefault.jpg,Dark Moonrise ASMR,"59 Minutes, 6 Seconds"
mouth sounds to relax to,https://www.youtube.com/watch?v=tuAQfvizEYE,https://i.ytimg.com/vi/tuAQfvizEYE/maxresdefault.jpg,The MashaKata,"13 Minutes, 35 Seconds"
ASMR Ancient Egyptian Mummification,https://www.youtube.com/watch?v=HFCojZ5a-E8,https://i.ytimg.com/vi/HFCojZ5a-E8/maxresdefault.jpg,ASMR Unity ,"36 Minutes, 31 Seconds"
"Tuning Fork ASMR  Deep Relaxation ,  Singing Bowl, Chimes, Sound Healing Reiki",https://www.youtube.com/watch?v=wEK5jsDfK00,https://i.ytimg.com/vi/wEK5jsDfK00/maxresdefault.jpg,Ruby True ,"1 Hours, 0 Minutes, 42 Seconds"
ASMR customer service counter at Atlanta International Airport ✈️,https://www.youtube.com/watch?v=zSVJC_Jzl_4,https://i.ytimg.com/vi/zSVJC_Jzl_4/maxresdefault.jpg,Leesie's ASMR,"20 Minutes, 22 Seconds"
ASMR | All Up In Your Ears ❤️ Extra Crispy Whispers & Triggers to Tingle Your Brain,https://www.youtube.com/watch?v=uRoMMUTH5Bk,https://i.ytimg.com/vi/uRoMMUTH5Bk/maxresdefault.jpg,Also Maya ASMR,"34 Minutes, 48 Seconds"
420 ASMR 🍃high🍃 sensitivity ASMR,https://www.youtube.com/watch?v=un1zJ21cy7U,https://i.ytimg.com/vi/un1zJ21cy7U/maxresdefault.jpg,Luna Bloom ASMR,"35 Minutes, 15 Seconds"
ASMR Counting Your Freckles - personal attention,https://www.youtube.com/watch?v=1QQG4hOZQRI,https://i.ytimg.com/vi/1QQG4hOZQRI/maxresdefault.jpg,ASMR Claudy,"15 Minutes, 47 Seconds"
ASMR TINGLE RAIN - Ho Creato il mio primo Trigger (ti farà addormentare in 5 minuti),https://www.youtube.com/watch?v=kqqWPRdF7pQ,https://i.ytimg.com/vi/kqqWPRdF7pQ/maxresdefault.jpg,Dark Moonrise ASMR,"12 Minutes, 37 Seconds"
ASMR singing you to sleep with songs I make up 🌙,https://www.youtube.com/watch?v=qImuOjBMEeE,https://i.ytimg.com/vi/qImuOjBMEeE/maxresdefault.jpg,Luna Bloom ASMR,"33 Minutes, 38 Seconds"
[ASMR] Girlfriend Pleasure and Relaxation (Massage With New 3Dio Mic)!!!,https://www.youtube.com/watch?v=E0PIQzWjRz0,https://i.ytimg.com/vi/E0PIQzWjRz0/maxresdefault.jpg,Oranda ASMR,"17 Minutes, 51 Seconds"
ASMR | SLOW & INTENSE Mic Scratching: With & Without Cover! 🤯 (+ black screen),https://www.youtube.com/watch?v=XMfom_7TrIM,https://i.ytimg.com/vi/XMfom_7TrIM/sddefault.jpg,Also Maya ASMR,"1 Hours, 1 Minutes, 0 Seconds"
Experimenting on You ASMR,https://www.youtube.com/watch?v=oixt2faCF6Y,https://i.ytimg.com/vi/oixt2faCF6Y/maxresdefault.jpg,cait ASMR,"28 Minutes, 12 Seconds"
ASMR no tingles allowed,https://www.youtube.com/watch?v=tak6CqeKr2Q,https://i.ytimg.com/vi/tak6CqeKr2Q/maxresdefault.jpg,edafoxx ASMR,"17 Minutes, 2 Seconds"
