Title,Video url,Thumbnail url,Channel name,Duration,Uploaded Time
5-HR STUDY WITH ME [pomodoro 50/10] cozy rainy day & calm piano break / countdown + alarm,https://www.youtube.com/watch?v=aGrp8v2L01U,https://i.ytimg.com/vi/aGrp8v2L01U/maxresdefault.jpg,tani study,"5 Hours, 1 Minutes, 17 Seconds",2024-06-11T12:00:16
Estudia Conmigo 2h | Preparándome los Finales de una Ingeniería | 50/10 (sin música),https://www.youtube.com/watch?v=SzbF1zb6ahU,https://i.ytimg.com/vi/SzbF1zb6ahU/maxresdefault.jpg,Santi Fernández,"2 Hours, 0 Minutes, 54 Seconds",2024-05-28T06:30:09
"【 study with me 】雨上がりの空と一緒に勉強☁️ ✈️60min , pencil asmr , no bgm",https://www.youtube.com/watch?v=xizPxIONz6A,https://i.ytimg.com/vi/xizPxIONz6A/maxresdefault.jpg,ばんちゃん / bamcham,"1 Hours, 1 Minutes, 4 Seconds",2024-05-18T11:00:52
"2-HOUR STUDY WITH ME | Calm Piano🎹, Background noises | Pomodoro 50/10 | Summer Day🌴",https://www.youtube.com/watch?v=xfadt1LlNu4,https://i.ytimg.com/vi/xfadt1LlNu4/maxresdefault.jpg,Carrot TD,"1 Hours, 53 Minutes, 18 Seconds",2024-04-15T10:00:22
"⛅️ 4-HOUR STUDY WITH ME | 🎹 Calm Piano, Morning Ambience | Pomodoro 50/10 | Japanese Study",https://www.youtube.com/watch?v=JHF4MPoADSs,https://i.ytimg.com/vi/JHF4MPoADSs/maxresdefault.jpg,The Hanoi Chamomile,"3 Hours, 52 Minutes, 5 Seconds",2024-04-14T01:00:07
2-HOUR STUDY WITH ME | Rain sound🌧️ Calm Piano ️🎹  | Pomodoro 50/10 | Sunrise,https://www.youtube.com/watch?v=uHu0T5WyXWQ,https://i.ytimg.com/vi/uHu0T5WyXWQ/maxresdefault.jpg,Carrot TD,"1 Hours, 54 Minutes, 12 Seconds",2024-03-18T10:00:07
⛈️ 3 hour pomodoro 50/10 | 📚 rain study with me | rain atmosphere for study,https://www.youtube.com/watch?v=RSxEnxsf3o8,https://i.ytimg.com/vi/RSxEnxsf3o8/maxresdefault.jpg,Mango Oatmilk,"3 Hours, 1 Minutes, 23 Seconds",2024-03-09T13:00:17
"2-HOUR STUDY WITH ME | Calm Piano ️🎹, Fire Crackling 🔥 | Pomodoro 50/10 | My room at sunrise",https://www.youtube.com/watch?v=Efm28NxA3GA,https://i.ytimg.com/vi/Efm28NxA3GA/maxresdefault.jpg,Carrot TD,"1 Hours, 53 Minutes, 48 Seconds",2024-03-08T10:30:07
3-HOUR STUDY WITH ME ☀️ / Pomodoro 50-10 / Calm Piano Music / Sunny Morning /Real Sound [music ver.],https://www.youtube.com/watch?v=T19Wrw1Tn34,https://i.ytimg.com/vi/T19Wrw1Tn34/maxresdefault.jpg,Celine,"2 Hours, 51 Minutes, 25 Seconds",2024-03-05T12:00:32
2-HOUR STUDY WITH ME | Calm Piano ️🎹 Rain sound🌧️ | Pomodoro 50/10 | Rainy Day - Spring 2024 🌸,https://www.youtube.com/watch?v=R1r9nLYcqBU,https://i.ytimg.com/vi/R1r9nLYcqBU/maxresdefault.jpg,Carrot TD,"1 Hours, 52 Minutes, 35 Seconds",2024-02-25T10:00:10
3-HOUR STUDY WITH ME | Relaxing Lo-Fi | Pomodoro 50/10 | Sunny Day - Spring 2024 🌸,https://www.youtube.com/watch?v=cOJ2wy8juu4,https://i.ytimg.com/vi/cOJ2wy8juu4/maxresdefault.jpg,Carrot TD,"2 Hours, 52 Minutes, 36 Seconds",2024-02-18T08:30:08
4-HOUR STUDY WITH ME | Calm Piano ️🎹 | Pomodoro 50/10 | Sunny Day - Spring 2024 🌸,https://www.youtube.com/watch?v=oCPKN9cVPC0,https://i.ytimg.com/vi/oCPKN9cVPC0/maxresdefault.jpg,Carrot TD,"3 Hours, 54 Minutes, 46 Seconds",2024-02-17T10:00:11
⛈️ 3hr STUDY WITH MEㅣpomodoro 50/10 | rain sound for study,https://www.youtube.com/watch?v=FemOZ6MNaFA,https://i.ytimg.com/vi/FemOZ6MNaFA/maxresdefault.jpg,Mango Oatmilk,"3 Hours, 1 Minutes, 23 Seconds",2024-02-03T13:00:12
3-HOUR STUDY WITH ME ☕️ Crackling Fireplace / Pomodoro 50/10,https://www.youtube.com/watch?v=yKfxGxjcbfY,https://i.ytimg.com/vi/yKfxGxjcbfY/maxresdefault.jpg,Frankie Rose Study,"2 Hours, 51 Minutes, 13 Seconds",2023-12-12T14:00:43
2-HOUR STUDY WITH ME  🌧️ Relaxing Rain / with countdown+alarm,https://www.youtube.com/watch?v=f8M5kfhwWGQ,https://i.ytimg.com/vi/f8M5kfhwWGQ/maxresdefault.jpg,Frankie Rose Study,"1 Hours, 56 Minutes, 10 Seconds",2023-12-05T12:00:08
📋3HR Late night STUDY WITH ME(50/10)ㅣheavy rain + light thunder soundsㅣwith pomodoro timer,https://www.youtube.com/watch?v=ZfydSjXvVd8,https://i.ytimg.com/vi/ZfydSjXvVd8/maxresdefault.jpg,yulma,"3 Hours, 0 Minutes, 51 Seconds",2023-11-25T13:04:00
